Source Target Weight
法正 黄忠 95 一般相关
法正 魏延 30 较少相关
法正 庞统 37 较少相关
法正 孔明 20 较少相关
法正 张飞 28 较少相关
法正 廖化 3 较少相关
法正 刘表 2 较少相关
法正 李严 19 较少相关
法正 马超 4 较少相关
法正 马谡 1 较少相关
法正 夏侯惇 1 较少相关
法正 关羽 2 较少相关
法正 董卓 2 较少相关
法正 司马懿 3 较少相关
法正 吕蒙 3 较少相关
李严 刘璋 31 较少相关
李严 马超 9 较少相关
李严 曹操 1 较少相关
李严 法正 19 较少相关
李严 黄忠 37 较少相关
李严 孔明 86 一般相关
李严 诸葛亮 3 较少相关
李严 张飞 1 较少相关
李严 赵云 2 较少相关
李严 魏延 2 较少相关
李严 廖化 1 较少相关
李严 马谡 3 较少相关
李严 孙权 3 较少相关
李严 陆逊 1 较少相关
李严 司马懿 6 较少相关
李严 姜维 1 较少相关
马谡 孔明 149 相关
马谡 刘璋 3 较少相关
马谡 法正 1 较少相关
马谡 李严 3 较少相关
马谡 诸葛亮 16 较少相关
马谡 张飞 1 较少相关
马谡 赵云 5 较少相关
马谡 黄忠 1 较少相关
马谡 魏延 31 较少相关
马谡 马超 1 较少相关
马谡 廖化 2 较少相关
马谡 司马懿 65 一般相关
马谡 姜维 5 较少相关
姜维 诸葛亮 50 一般相关
姜维 赵云 22 较少相关
姜维 孔明 223 相关
姜维 魏延 85 一般相关
姜维 袁术 3 较少相关
姜维 袁绍 3 较少相关
姜维 刘表 4 较少相关
姜维 吕布 3 较少相关
姜维 司马懿 62 一般相关
姜维 马谡 5 较少相关
姜维 廖化 86 一般相关
姜维 张辽 1 较少相关
姜维 李严 1 较少相关
姜维 陆逊 5 较少相关
姜维 孙权 1 较少相关
姜维 曹操 5 较少相关
姜维 刘备 2 较少相关
姜维 董卓 1 较少相关
姜维 马腾 1 较少相关
